date,quarter_rial,mesghal_rial,usd_rial,quarter_toman,mesghal_toman,usd_toman,quarter_rial_per_g,mesghal_rial_per_g,RP,vol45,vol90,pos_layer2,pos_twolayer
2020-02-05,15400000,21990000,136730,1540000.0,2199000.0,13673.0,8420822.4,6768545.75,0.244111,,,,
2020-02-06,15400000,21990000,135060,1540000.0,2199000.0,13506.0,8420822.4,6768545.75,0.244111,,,,
2020-02-08,15600000,22400000,138890,1560000.0,2240000.0,13889.0,8530183.73,6894744.19,0.237201,,,,
2020-02-09,15900000,22510000,139590,1590000.0,2251000.0,13959.0,8694225.72,6928602.31,0.254831,,,,
2020-02-10,15900000,22510000,136040,1590000.0,2251000.0,13604.0,8694225.72,6928602.31,0.254831,,,,
2020-02-12,16100000,22420000,140430,1610000.0,2242000.0,14043.0,8803587.05,6900900.21,0.275716,,,,
2020-02-15,16300000,23080000,141860,1630000.0,2308000.0,14186.0,8912948.38,7104048.92,0.254629,,,,
2020-02-16,16290000,23240000,141620,1629000.0,2324000.0,14162.0,8907480.31,7153297.1,0.245227,,,,
2020-02-17,16600000,23460000,144030,1660000.0,2346000.0,14403.0,9076990.38,7221013.33,0.257024,,,,
2020-02-18,16700000,23730000,143490,1670000.0,2373000.0,14349.0,9131671.04,7304119.63,0.250208,,,,
2020-02-19,16900000,23780000,143930,1690000.0,2378000.0,14393.0,9241032.37,7319509.68,0.262521,,,,
2020-02-20,16900000,23780000,142030,1690000.0,2378000.0,14203.0,9241032.37,7319509.68,0.262521,,,,
2020-02-22,18600000,25950000,152550,1860000.0,2595000.0,15255.0,10170603.67,7987438.02,0.273325,,,,
2020-02-23,19000000,27230000,156090,1900000.0,2723000.0,15609.0,10389326.33,8381423.4,0.239566,,,,
2020-02-24,18650000,27220000,156290,1865000.0,2722000.0,15629.0,10197944.01,8378345.39,0.217179,,,,
2020-02-25,18640000,27050000,156390,1864000.0,2705000.0,15639.0,10192475.94,8326019.21,0.224172,,,,
2020-02-26,18550000,26890000,157090,1855000.0,2689000.0,15709.0,10143263.34,8276771.04,0.22551,,,,
2020-02-27,18550000,26890000,157010,1855000.0,2689000.0,15701.0,10143263.34,8276771.04,0.22551,,,,
2020-02-29,17800000,25960000,155060,1780000.0,2596000.0,15506.0,9733158.36,7990516.03,0.218089,,,,
2020-03-01,17600000,25680000,156990,1760000.0,2568000.0,15699.0,9623797.03,7904331.73,0.217535,,,,
2020-03-02,17400000,25920000,153130,1740000.0,2592000.0,15313.0,9514435.7,7978203.99,0.192554,,,,
2020-03-03,17600000,25890000,154360,1760000.0,2589000.0,15436.0,9623797.03,7968969.96,0.207659,,,,
2020-03-04,17500000,25930000,152710,1750000.0,2593000.0,15271.0,9569116.36,7981282.0,0.198945,,,,
2020-03-05,17500000,25930000,149950,1750000.0,2593000.0,14995.0,9569116.36,7981282.0,0.198945,,,,
2020-03-07,17700000,26120000,149960,1770000.0,2612000.0,14996.0,9678477.69,8039764.21,0.203826,,,,
2020-03-09,17500000,26310000,153890,1750000.0,2631000.0,15389.0,9569116.36,8098246.41,0.181628,,,,
2020-03-10,17500000,25690000,153990,1750000.0,2569000.0,15399.0,9569116.36,7907409.74,0.210146,,,,
2020-03-11,17400000,25590000,153900,1740000.0,2559000.0,15390.0,9514435.7,7876629.63,0.207932,,,,
2020-03-12,17400000,25590000,148510,1740000.0,2559000.0,14851.0,9514435.7,7876629.63,0.207932,,,,
2020-03-14,17430000,25940000,156570,1743000.0,2594000.0,15657.0,9530839.9,7984360.01,0.193689,,,,
2020-03-15,17540000,25550000,158370,1754000.0,2555000.0,15837.0,9590988.63,7864317.59,0.219558,,,,
2020-03-16,17500000,26350000,160690,1750000.0,2635000.0,16069.0,9569116.36,8110558.45,0.179834,,,,
2020-03-17,17580000,26130000,159920,1758000.0,2613000.0,15992.0,9612860.89,8042842.22,0.195207,,,,
2020-04-04,17950000,28340000,164190,1795000.0,2834000.0,16419.0,9815179.35,8723082.6,0.125196,,,,
2020-04-05,17900000,28300000,162950,1790000.0,2830000.0,16295.0,9787839.02,8710770.56,0.123648,,,,
2020-04-06,17900000,28100000,161390,1790000.0,2810000.0,16139.0,9787839.02,8649210.34,0.131645,,,,
2020-04-07,17820000,27400000,159650,1782000.0,2740000.0,15965.0,9744094.49,8433749.59,0.155369,,,,
2020-04-08,17820000,27400000,161060,1782000.0,2740000.0,16106.0,9744094.49,8433749.59,0.155369,,,,
2020-04-11,18900000,27870000,162240,1890000.0,2787000.0,16224.0,10334645.67,8578416.1,0.204727,,,,
2020-04-12,18800000,27760000,161090,1880000.0,2776000.0,16109.0,10279965.0,8544557.98,0.203101,,,,
2020-04-13,18800000,27730000,160280,1880000.0,2773000.0,16028.0,10279965.0,8535323.94,0.204402,,,,
2020-04-15,18800000,27230000,159690,1880000.0,2723000.0,15969.0,10279965.0,8381423.4,0.226518,,,,
2020-04-16,18800000,27230000,155000,1880000.0,2723000.0,15500.0,10279965.0,8381423.4,0.226518,,,,
2020-04-18,18800000,26440000,154390,1880000.0,2644000.0,15439.0,10279965.0,8138260.55,0.263165,,,,
2020-04-19,18720000,26500000,154420,1872000.0,2650000.0,15442.0,10236220.47,8156728.62,0.254942,,,,
2020-04-20,18700000,27150000,160890,1870000.0,2715000.0,16089.0,10225284.34,8356799.32,0.223589,,,,
2020-04-21,18700000,28350000,163080,1870000.0,2835000.0,16308.0,10225284.34,8726160.61,0.171796,0.024121,,QUARTER,QUARTER
2020-04-22,18900000,27950000,162690,1890000.0,2795000.0,16269.0,10334645.67,8603040.18,0.201278,0.02422,,QUARTER,QUARTER
2020-04-23,18900000,27950000,155030,1890000.0,2795000.0,15503.0,10334645.67,8603040.18,0.201278,0.024233,,QUARTER,QUARTER
2020-04-25,18740000,27550000,161520,1874000.0,2755000.0,16152.0,10247156.61,8479919.75,0.208403,0.024391,,QUARTER,QUARTER
2020-04-27,18600000,27650000,160790,1860000.0,2765000.0,16079.0,10170603.67,8510699.86,0.195037,0.024356,,QUARTER,QUARTER
2020-04-28,18530000,27750000,162410,1853000.0,2775000.0,16241.0,10132327.21,8541479.97,0.18625,0.024075,,QUARTER,QUARTER
2020-04-29,18570000,27720000,161420,1857000.0,2772000.0,16142.0,10154199.48,8532245.93,0.190097,0.024085,,QUARTER,QUARTER
2020-05-02,18490000,27730000,160790,1849000.0,2773000.0,16079.0,10110454.94,8535323.94,0.184543,0.024078,,QUARTER,QUARTER
2020-05-03,18800000,27970000,161390,1880000.0,2797000.0,16139.0,10279965.0,8609196.2,0.194068,0.024062,,QUARTER,QUARTER
2020-05-04,18800000,27950000,161420,1880000.0,2795000.0,16142.0,10279965.0,8603040.18,0.194922,0.02407,,QUARTER,QUARTER
2020-05-05,18900000,28100000,161380,1890000.0,2810000.0,16138.0,10334645.67,8649210.34,0.194866,0.024064,,QUARTER,QUARTER
2020-05-06,18930000,28250000,162890,1893000.0,2825000.0,16289.0,10351049.87,8695380.51,0.190408,0.020157,,QUARTER,QUARTER
2020-05-07,18930000,28250000,157000,1893000.0,2825000.0,15700.0,10351049.87,8695380.51,0.190408,0.018857,,QUARTER,QUARTER
2020-05-09,19600000,28900000,164920,1960000.0,2890000.0,16492.0,10717410.32,8895451.21,0.204819,0.019133,,QUARTER,QUARTER
2020-05-10,20000000,29270000,168420,2000000.0,2927000.0,16842.0,10936132.98,9009337.61,0.213866,0.019167,,QUARTER,QUARTER
2020-05-11,20400000,29740000,170210,2040000.0,2974000.0,17021.0,11154855.64,9154004.11,0.218577,0.019241,,QUARTER,QUARTER
2020-05-12,20300000,29800000,171080,2030000.0,2980000.0,17108.0,11100174.98,9172472.18,0.210162,0.019237,,QUARTER,QUARTER
2020-05-13,20640000,29670000,168610,2064000.0,2967000.0,16861.0,11286089.24,9132458.04,0.235822,0.018443,,QUARTER,QUARTER
2020-05-16,20980000,31010000,169110,2098000.0,3101000.0,16911.0,11472003.5,9544911.49,0.201897,0.019327,,QUARTER,QUARTER
2020-05-17,20980000,31210000,175780,2098000.0,3121000.0,17578.0,11472003.5,9606471.7,0.194195,0.019315,,QUARTER,QUARTER
2020-05-18,21140000,32110000,176910,2114000.0,3211000.0,17691.0,11559492.56,9883492.67,0.169576,0.01963,,QUARTER,QUARTER
2020-05-19,22100000,32160000,178910,2210000.0,3216000.0,17891.0,12084426.95,9898882.73,0.220787,0.01963,,QUARTER,QUARTER
2020-05-20,21500000,31910000,177010,2150000.0,3191000.0,17701.0,11756342.96,9821932.46,0.196948,0.019707,,QUARTER,QUARTER
2020-05-21,21500000,31910000,173050,2150000.0,3191000.0,17305.0,11756342.96,9821932.46,0.196948,0.019716,,QUARTER,QUARTER
2020-05-26,20700000,30210000,173780,2070000.0,3021000.0,17378.0,11318897.64,9298670.62,0.21726,0.021478,,QUARTER,QUARTER
2020-05-27,20730000,31170000,175710,2073000.0,3117000.0,17571.0,11335301.84,9594159.66,0.181479,0.021489,,QUARTER,QUARTER
2020-05-30,20300000,31180000,176010,2030000.0,3118000.0,17601.0,11100174.98,9597237.67,0.156601,0.021461,,QUARTER,QUARTER
2020-05-31,20400000,31470000,177020,2040000.0,3147000.0,17702.0,11154855.64,9686499.98,0.151588,0.02146,,QUARTER,QUARTER
2020-06-01,20360000,31458000,177120,2036000.0,3145800.0,17712.0,11132983.38,9682806.37,0.149768,0.021432,,QUARTER,QUARTER
2020-06-06,20000000,30840000,176810,2000000.0,3084000.0,17681.0,10936132.98,9492585.3,0.152071,0.021536,,QUARTER,QUARTER
2020-06-07,19900000,30750000,176110,1990000.0,3075000.0,17611.0,10881452.32,9464883.21,0.149666,0.021174,,QUARTER,QUARTER
2020-06-08,20400000,31460000,177910,2040000.0,3146000.0,17791.0,11154855.64,9683421.97,0.151954,0.021285,,QUARTER,QUARTER
2020-06-09,20700000,31820000,179880,2070000.0,3182000.0,17988.0,11318897.64,9794230.36,0.15567,0.017564,,QUARTER,QUARTER
