date,quarter,mesghal
2024-08-03,155000000,155940000
2024-08-04,153000000,154210000
2024-08-05,154500000,152360000
2024-08-06,154500000,154810000
2024-08-07,154500000,154230000
2024-08-09,152000000,152560000
2024-08-10,149500000,150570000
2024-08-11,150000000,153460000
2024-08-12,148500000,151470000
2024-08-13,145000000,150710000
2024-08-14,144000000,150190000
2024-08-16,144000000,150660000
2024-08-18,150000000,154170000
2024-08-19,148000000,153230000
2024-08-20,149000000,154930000
2024-08-21,150000000,155250000
2024-08-23,150000000,155390000
2024-08-25,151000000,156700000
2024-08-26,149500000,155480000
2024-08-27,151500000,156530000
2024-08-28,154000000,157400000
2024-08-30,152500000,157180000
2024-08-31,154000000,159160000
2024-09-02,153920000,157840000
2024-09-04,154000000,157980000
2024-09-06,153000000,156060000
2024-09-07,153500000,156260000
2024-09-08,154000000,157200000
2024-09-09,154000000,158270000
2024-09-10,156000000,158640000
2024-09-13,158500000,160520000
2024-09-14,156500000,159880000
2024-09-15,157000000,160750000
2024-09-16,158000000,161710000
2024-09-17,160000000,161610000
2024-09-18,159000000,161990000
2024-09-21,162500000,164850000
2024-09-22,165000000,166790000
2024-09-23,170000000,169100000
2024-09-24,167500000,167980000
2024-09-25,169000000,169170000
2024-09-27,176000000,174380000
2024-09-28,170000000,172230000
2024-09-29,168000000,170640000
2024-09-30,171000000,175450000
2024-10-01,175000000,176660000
2024-10-02,177000000,177790000
2024-10-04,177000000,177300000
2024-10-05,180000000,179250000
2024-10-06,178500000,177610000
2024-10-07,175500000,174700000
2024-10-08,175000000,176240000
2024-10-09,177000000,177310000
2024-10-11,174500000,174800000
2024-10-12,176500000,176830000
2024-10-13,178000000,177870000
2024-10-14,176500000,177880000
2024-10-15,179500000,180340000
2024-10-16,179500000,181070000
2024-10-18,191000000,184250000
2024-10-19,189000000,185280000
2024-10-20,194000000,187300000
2024-10-21,187000000,192170000
2024-10-22,193000000,197760000
2024-10-23,193000000,199150000
2024-10-30,178000000,199750000
2024-11-01,185000000,201830000
2024-11-02,183000000,202750000
2024-11-03,173000000,199990000
2024-11-04,172000000,199650000
2024-11-05,167000000,197780000
2024-11-06,163000000,196920000
2024-11-08,157000000,196860000
2024-11-09,155000000,192500000
2024-11-10,145000000,183860000
2024-11-11,157000000,187240000
2024-11-12,160000000,189550000
2024-11-13,159000000,186190000
2024-11-15,158000000,186050000
2024-11-16,159500000,185770000
2024-11-17,160000000,188780000
2024-11-18,165500000,192430000
2024-11-19,164500000,194660000
2024-11-20,167500000,195780000
2024-11-22,171500000,201910000
2024-11-23,166000000,197790000
2024-11-24,166100000,193790000
2024-11-25,166100000,193530000
2024-11-26,167000000,195390000
2024-11-27,167500000,197590000
2024-11-29,170000000,198200000
2024-11-30,167000000,197730000
2024-12-01,168200000,198810000
2024-12-02,168500000,200170000
2024-12-03,170500000,202980000
2024-12-06,168500000,199880000
2024-12-07,170500000,201760000
2024-12-08,172000000,203240000
2024-12-09,173200000,206060000
2024-12-10,175200000,210650000
2024-12-11,174200000,208740000
2024-12-13,174500000,210870000
2024-12-14,173200000,210090000
2024-12-15,178200000,214110000
2024-12-16,178000000,212700000
2024-12-17,177900000,215160000
2024-12-18,175200000,211010000
2024-12-20,174000000,211820000
2024-12-21,173000000,212570000
2024-12-22,176400000,216100000
2024-12-23,178000000,218700000
2024-12-24,179000000,219880000
2024-12-25,180000000,222730000
2024-12-27,185000000,227930000
2024-12-28,181000000,223630000
2024-12-29,182500000,226530000
2024-12-30,180000000,227100000
2024-12-31,177800000,226040000
2025-01-01,177200000,225160000
2025-01-03,174700000,223490000
2025-01-04,174000000,221830000
2025-01-05,174000000,221640000
2025-01-06,177000000,226310000
2025-01-07,177000000,228410000
2025-01-08,177000000,228840000
2025-01-10,179000000,231840000
2025-01-11,175000000,228860000
2025-01-12,176000000,230770000
2025-01-14,173000000,227760000
2025-01-15,172000000,226780000
2025-01-17,172000000,227590000
2025-01-18,171000000,227370000
2025-01-19,173000000,228710000
2025-01-20,177000000,234510000
2025-01-21,182000000,237490000
2025-01-22,185000000,239020000
2025-01-24,184000000,240740000
2025-01-25,185000000,242930000
2025-01-26,185000000,242510000
2025-01-28,181000000,239780000
2025-01-29,181000000,241840000
2025-01-31,185000000,245870000
2025-02-01,185000000,245310000
2025-02-02,185000000,247080000
2025-02-03,188000000,250060000
2025-02-04,195000000,255670000
2025-02-05,195000000,258380000
2025-02-07,210000000,274120000
2025-02-08,221000000,286680000
2025-02-10,213000000,277030000
2025-02-11,202000000,276570000
2025-02-12,208000000,283740000
2025-02-14,210000000,283470000
2025-02-15,207000000,282030000
2025-02-16,205000000,280550000
2025-02-17,211000000,285080000
2025-02-18,217000000,292730000
2025-02-19,224000000,299020000
2025-02-21,227000000,294220000
2025-02-22,218000000,292030000
2025-02-23,218000000,288290000
2025-02-24,217000000,285040000
2025-02-25,220000000,291020000
2025-02-26,219000000,287240000
2025-02-28,214000000,278840000
2025-03-01,220000000,282010000
2025-03-02,218000000,276250000
2025-03-03,223000000,278930000
2025-03-04,220000000,276830000
2025-03-05,220000000,275710000
2025-03-07,229000000,286560000
2025-03-08,241000000,291130000
2025-03-09,243000000,291750000
2025-03-10,244000000,289130000
2025-03-11,247000000,291350000
2025-03-12,259000000,295050000
2025-03-14,259000000,297610000
2025-03-15,280000000,319540000
2025-03-16,297000000,333450000
2025-03-17,348000000,351340000
