date,quarter,mesghal
2024-10-30,178000000.0,199750000.0
2024-11-01,185000000.0,201830000.0
2024-11-02,183000000.0,202750000.0
2024-11-03,173000000.0,199990000.0
2024-11-04,172000000.0,199650000.0
2024-11-05,167000000.0,197780000.0
2024-11-06,163000000.0,196920000.0
2024-11-08,157000000.0,196860000.0
2024-11-09,155000000.0,192500000.0
2024-11-10,145000000.0,183860000.0
2024-11-11,157000000.0,187240000.0
2024-11-12,160000000.0,189550000.0
2024-11-13,159000000.0,186190000.0
2024-11-15,158000000.0,186050000.0
2024-11-16,159500000.0,185770000.0
2024-11-17,160000000.0,188780000.0
2024-11-18,165500000.0,192430000.0
2024-11-19,164500000.0,194660000.0
2024-11-20,167500000.0,195780000.0
2024-11-22,171500000.0,201910000.0
2024-11-23,166000000.0,197790000.0
2024-11-24,166100000.0,193790000.0
2024-11-25,166100000.0,193530000.0
2024-11-26,167000000.0,195390000.0
2024-11-27,167500000.0,197590000.0
2024-11-29,170000000.0,198200000.0
2024-11-30,167000000.0,197730000.0
2024-12-01,168200000.0,198810000.0
2024-12-02,168500000.0,200170000.0
2024-12-03,170500000.0,202980000.0
2024-12-06,168500000.0,199880000.0
2024-12-07,170500000.0,201760000.0
2024-12-08,172000000.0,203240000.0
2024-12-09,173200000.0,206060000.0
2024-12-10,175200000.0,210650000.0
2024-12-11,174200000.0,208740000.0
2024-12-13,174500000.0,210870000.0
2024-12-14,173200000.0,210090000.0
2024-12-15,178200000.0,214110000.0
2024-12-16,178000000.0,212700000.0
2024-12-17,177900000.0,215160000.0
2024-12-18,175200000.0,211010000.0
2024-12-20,174000000.0,211820000.0
2024-12-21,173000000.0,212570000.0
2024-12-22,176400000.0,216100000.0
2024-12-23,178000000.0,218700000.0
2024-12-24,179000000.0,219880000.0
2024-12-25,180000000.0,222730000.0
2024-12-27,185000000.0,227930000.0
2024-12-28,181000000.0,223630000.0
2024-12-29,182500000.0,226530000.0
2024-12-30,180000000.0,227100000.0
2024-12-31,177800000.0,226040000.0
2025-01-01,177200000.0,225160000.0
2025-01-03,174700000.0,223490000.0
2025-01-04,174000000.0,221830000.0
2025-01-05,174000000.0,221640000.0
2025-01-06,177000000.0,226310000.0
2025-01-07,177000000.0,228410000.0
2025-01-08,177000000.0,228840000.0
2025-01-10,179000000.0,231840000.0
2025-01-11,175000000.0,228860000.0
2025-01-12,176000000.0,230770000.0
2025-01-14,173000000.0,227760000.0
2025-01-15,172000000.0,226780000.0
2025-01-17,172000000.0,227590000.0
2025-01-18,171000000.0,227370000.0
2025-01-19,173000000.0,228710000.0
2025-01-20,177000000.0,234510000.0
2025-01-21,182000000.0,237490000.0
2025-01-22,185000000.0,239020000.0
2025-01-24,184000000.0,240740000.0
2025-01-25,185000000.0,242930000.0
2025-01-26,185000000.0,242510000.0
2025-01-28,181000000.0,239780000.0
2025-01-29,181000000.0,241840000.0
2025-01-31,185000000.0,245870000.0
2025-02-01,185000000.0,245310000.0
2025-02-02,185000000.0,247080000.0
2025-02-03,188000000.0,250060000.0
2025-02-04,195000000.0,255670000.0
2025-02-05,195000000.0,258380000.0
2025-02-07,210000000.0,274120000.0
2025-02-08,221000000.0,286680000.0
2025-02-10,213000000.0,277030000.0
2025-02-11,202000000.0,276570000.0
2025-02-12,208000000.0,283740000.0
2025-02-14,210000000.0,283470000.0
2025-02-15,207000000.0,282030000.0
2025-02-16,205000000.0,280550000.0
2025-02-17,211000000.0,285080000.0
2025-02-18,217000000.0,292730000.0
2025-02-19,224000000.0,299020000.0
2025-02-21,227000000.0,294220000.0
2025-02-22,218000000.0,292030000.0
2025-02-23,218000000.0,288290000.0
2025-02-24,217000000.0,285040000.0
2025-02-25,220000000.0,291020000.0
2025-02-26,219000000.0,287240000.0
2025-02-28,214000000.0,278840000.0
2025-03-01,220000000.0,282010000.0
2025-03-02,218000000.0,276250000.0
2025-03-03,223000000.0,278930000.0
2025-03-04,220000000.0,276830000.0
2025-03-05,220000000.0,275710000.0
2025-03-07,229000000.0,286560000.0
2025-03-08,241000000.0,291130000.0
2025-03-09,243000000.0,291750000.0
2025-03-10,244000000.0,289130000.0
2025-03-11,247000000.0,291350000.0
2025-03-12,259000000.0,295050000.0
2025-03-14,259000000.0,297610000.0
2025-03-15,280000000.0,319540000.0
2025-03-16,297000000.0,333450000.0
2025-03-17,348000000.0,351340000.0
2025-03-24,330000000.0,343840000.0
2025-03-26,339000000.0,351490000.0
2025-03-28,349000000.0,358740000.0
2025-04-04,312000000.0,334470000.0
2025-04-05,322000000.0,345810000.0
2025-04-06,332000000.0,338910000.0
2025-04-07,310000000.0,319340000.0
2025-04-08,310000000.0,326690000.0
2025-04-09,315000000.0,330810000.0
2025-04-11,295000000.0,319500000.0
2025-04-12,270000000.0,286880000.0
2025-04-13,270000000.0,293250000.0
2025-04-14,275000000.0,292130000.0
2025-04-15,275000000.0,302120000.0
2025-04-16,275500000.0,297510000.0
2025-04-18,260000000.0,283720000.0
2025-04-19,260000000.0,284020000.0
2025-04-20,256000000.0,287330000.0
2025-04-21,251000000.0,284730000.0
2025-04-22,247000000.0,281960000.0
2025-04-25,244000000.0,288540000.0
2025-04-26,246000000.0,289950000.0
2025-04-27,246000000.0,283050000.0
2025-04-28,244000000.0,281120000.0
2025-04-29,247000000.0,281050000.0
2025-04-30,246000000.0,278320000.0
2025-05-02,265000000.0,293550000.0
2025-05-03,280000000.0,294840000.0
2025-05-04,277000000.0,293660000.0
2025-05-05,266000000.0,289750000.0
2025-05-06,261000000.0,288630000.0
2025-05-07,263000000.0,290250000.0
2025-05-09,258000000.0,291020000.0
2025-05-10,260000000.0,287410000.0
2025-05-11,253000000.0,283440000.0
2025-05-12,251000000.0,284780000.0
2025-05-13,249000000.0,280040000.0
2025-05-14,250000000.0,278920000.0
2025-05-16,242000000.0,273210000.0
2025-05-17,237000000.0,269320000.0
2025-05-18,234000000.0,271010000.0
2025-05-19,250000000.0,285490000.0
2025-05-20,250000000.0,280830000.0
2025-05-21,249000000.0,282830000.0
2025-05-23,244000000.0,284610000.0
2025-05-24,241000000.0,283120000.0
2025-05-25,241000000.0,280400000.0
2025-05-26,242000000.0,279810000.0
2025-05-27,241000000.0,279010000.0
2025-05-28,239000000.0,279010000.0
2025-05-30,236000000.0,279280000.0
2025-05-31,232000000.0,277950000.0
2025-06-01,239000000.0,286450000.0
2025-06-02,239000000.0,287110000.0
2025-06-06,236000000.0,278630000.0
2025-06-07,238000000.0,281560000.0
2025-06-08,236000000.0,283730000.0
2025-06-09,237000000.0,279950000.0
