date,usd_open,usd_close
2025-01-21,823900,825700
2025-01-20,808800,823350
2025-01-19,806400,810200
2025-01-18,806350,806700
2025-01-17,796100,805300
2025-01-15,803350,800700
2025-01-14,813650,804850
2025-01-12,806400,814600
2025-01-11,817650,806650
2025-01-10,818300,819500
2025-01-08,803300,813900
2025-01-07,799000,804100
2025-01-06,798100,800800
2025-01-05,794200,793450
2025-01-04,799600,795450
2025-01-03,799600,798350
2025-01-01,812950,806350
2024-12-31,813200,812300
2024-12-30,816300,813050
2024-12-29,796350,813200
2024-12-28,811550,797150
2024-12-27,799350,810600
2024-12-25,784850,793850
2024-12-24,785200,785950
2024-12-23,779700,786600
2024-12-22,762200,778800
2024-12-21,761600,762800
2024-12-20,766900,762400
2024-12-18,771600,767550
2024-12-17,767200,773650
2024-12-16,765550,766300
2024-12-15,745950,759500
2024-12-14,748550,747100
2024-12-13,736600,747150
2024-12-11,732450,729600
2024-12-10,723650,731950
2024-12-09,718800,723200
2024-12-08,718400,718850
2024-12-07,715350,719200
2024-12-06,712650,715600
2024-12-03,712200,714800
2024-12-02,704800,710950
2024-12-01,699550,704150
2024-11-30,702950,699000
2024-11-29,704950,704000
2024-11-27,699300,701400
2024-11-26,695750,699050
2024-11-25,693350,695950
2024-11-24,687400,693700
2024-11-23,698000,689600
2024-11-22,697400,699050
2024-11-20,689900,692250
2024-11-19,690250,689300
2024-11-18,683850,689050
2024-11-17,680950,684450
2024-11-16,682200,681750
2024-11-15,683750,682400
2024-11-13,682300,683300
2024-11-12,679450,684400
2024-11-11,668800,678200
2024-11-10,682300,669200
2024-11-09,691800,682650
2024-11-08,695400,692200
2024-11-06,696100,690450
2024-11-05,698550,696250
2024-11-04,689400,688900
2024-11-03,694200,689600
2024-11-02,694500,693250
2024-11-01,683650,694800
2024-10-30,687500,682300
2024-10-29,683750,692400
2024-10-28,673800,684000
2024-10-27,660550,674800
2024-10-26,654700,660850
2024-10-25,658950,655300
2024-10-23,676750,679500
2024-10-22,663150,677300
2024-10-21,648850,661500
2024-10-20,642050,648550
2024-10-19,637950,641950
2024-10-18,633850,639600
2024-10-16,633500,636600
2024-10-15,626850,633350
2024-10-14,630350,627650
2024-10-13,628050,631500
2024-10-12,624750,628450
2024-10-11,631100,624950
2024-10-09,628900,635500
2024-10-08,624800,629350
2024-10-07,627650,625450
2024-10-06,634600,628450
2024-10-05,624350,634550
2024-10-04,615850,623900
2024-10-02,621300,626900
2024-10-01,619850,622550
2024-09-30,605800,614950
2024-09-29,606200,603750
2024-09-28,609450,606100
2024-09-27,598050,607000
2024-09-25,602500,600300
2024-09-24,603150,597150
2024-09-23,598400,604850
2024-09-22,595250,597800
2024-09-21,592500,595500
2024-09-18,591450,592300
2024-09-17,595100,592350
2024-09-16,591900,595150
2024-09-15,591050,591000
2024-09-14,594250,590400
2024-09-13,594900,593900
2024-09-10,596000,597500
2024-09-09,594750,596150
2024-09-08,594400,596750
2024-09-07,596700,594500
2024-09-06,599200,597500
2024-09-04,599400,599000
2024-09-02,592000,598900
2024-08-31,594500,599000
2024-08-30,593900,594800
2024-08-28,592050,593950
