date,quarter,mesghal,note
2020-08-06,32800000,48890000,tgju matched close
2020-08-09,31000000,44820000,tgju matched close
2020-08-10,31000000,44690000,tgju matched close
2020-08-11,30000000,43930000,tgju matched close
2021-08-07,36000000,47080000,tgju matched close
2021-08-08,35900000,46930000,tgju matched close
2021-08-09,36100000,47230000,tgju matched close
2021-08-10,37500000,48150000,tgju matched close
2022-08-01,52000000,59170000,tgju matched close
2022-08-02,51800000,58690000,tgju matched close
2022-08-03,51900000,59480000,tgju matched close
2022-08-06,51860000,59240000,tgju matched close
2022-08-09,51800000,59050000,tgju matched close
2022-08-10,51500000,59450000,tgju matched close
2023-08-05,106000000,102220000,tgju matched close
2023-08-06,105000000,101960000,tgju matched close
2023-08-07,103500000,101410000,tgju matched close
2023-08-08,104000000,101850000,tgju matched close
2023-08-13,102000000,100570000,tgju matched close
2023-08-19,97000000,97970000,tgju matched close
2023-08-20,97500000,98750000,tgju matched close
2023-08-21,99000000,100470000,tgju matched close
2024-07-08,146000000,144680000,tgju matched close
2024-07-19,144000000,145660000,tgju matched close
2024-07-29,151500000,149960000,tgju matched close
2024-08-03,155000000,155940000,tgju matched close
2024-08-05,154500000,152360000,tgju matched close
2024-08-06,154500000,154810000,tgju matched close
2026-07-27,540000000,788820000,tgju matched close
2026-07-26,525000000,774470000,tgju matched close
2026-07-25,530000000,790850000,tgju matched close
2026-07-22,540000000,823180000,tgju matched close
