date,quarter,mesghal
2026-05-05,550000000,830010000
2026-05-06,550000000,836950000
2026-05-09,550000000,836980000
2026-05-10,540000000,830420000
2026-05-11,550000000,857970000
2026-05-12,560000000,848470000
2026-05-13,540000000,848530000
2026-05-16,535000000,840720000
2026-05-17,540000000,835030000
2026-05-18,535000000,822540000
2026-05-19,530000000,822020000
2026-05-20,535000000,832480000
2026-05-21,540000000,829530000
2026-05-23,530000000,803950000
2026-05-24,515000000,777470000
2026-05-25,530000000,790980000
2026-05-26,525000000,788960000
2026-05-28,525000000,785470000
2026-05-30,520000000,778930000
2026-05-31,520000000,785460000
2026-06-01,545000000,805030000
2026-06-02,530000000,790050000
2026-06-03,530000000,791730000
2026-06-06,525000000,779730000
2026-06-07,540000000,793040000
2026-06-08,535000000,782460000
2026-06-09,520000000,776470000
2026-06-10,520000000,776350000
2026-06-11,525000000,773970000
2026-06-13,498900000,746050000
2026-06-14,504900000,742050000
2026-06-15,476200000,702970000
2026-06-16,441600000,677980000
2026-06-17,476600000,701010000
2026-06-18,470000000,678460000
2026-06-20,487100000,697520000
2026-06-21,483500000,700020000
2026-06-22,486900000,690320000
2026-06-23,494500000,696840000
2026-06-27,504500000,707450000
2026-06-28,538800000,749020000
2026-06-29,512600000,727050000
2026-06-30,521600000,732520000
2026-07-01,523700000,747530000
2026-07-02,528600000,756410000
2026-07-05,535000000,768040000
2026-07-06,540000000,768290000
2026-07-07,535500000,768460000
2026-07-08,545000000,774650000
2026-07-09,540600000,777020000
2026-07-11,521800000,756950000
2026-07-12,520000000,764990000
2026-07-13,516400000,765960000
2026-07-14,533500000,775020000
2026-07-15,546600000,795330000
2026-07-16,536700000,790320000
2026-07-18,546700000,828950000
2026-07-19,535000000,812980000
2026-07-20,515100000,787740000
2026-07-21,525000000,798980000
2026-07-22,540000000,823180000
2026-07-23,540000000,816830000
2026-07-25,530000000,790850000
2026-07-26,525000000,774470000
2026-07-27,540000000,788820000
